,Date,Location,Flight,Fatalities,Year,Month,Day,Casualties,Aboard,% Casualty,Decade
1358,1953-05-24,St. Louis- MissouriMeteor Air,Douglas DC-3N53596,6/7(?),1953,5,24,6,7,85.71428571428571,1950
1359,1953-05-25,Amsterdam- NetherlandsKLM Royal Dutch Airlines,Convair CV-240-4PH-TEI,0/34(2),1953,5,25,0,34,0.0,1950
1360,1953-05-27,Goose Wade- RussiaAeroflot,Li-2 / Li-2TL4534,20/20(0),1953,5,27,20,20,100.0,1950
1361,1953-06-14,Near  Zugdidi- GeorgiaAeroflot,Ilyushin IL-2L1375,18/18(0),1953,6,14,18,18,100.0,1950
1362,1953-06-15,Near Reo Copiapo- ChileLAN,Lockheed 18 LoadstarCC-CLD-0100,7/7(0),1953,6,15,7,7,100.0,1950
1363,1953-06-15,San Ramon Mtns.- Costa RicaLACSA,Douglas DC-3TI-1002,9/17(0),1953,6,15,9,17,52.94117647058824,1950
1364,1953-06-16,Mount Phou-Lassy- French Indo-ChinaAigle Azur,Douglas DC-3F-BEST,34/34(0),1953,6,16,34,34,100.0,1950
1365,1953-06-17,Sao Paulo- BrazilPanair do Brasil,Lockheed 049-46-21 ConstellationPP-PDA,17/17(0),1953,6,17,17,17,100.0,1950
1366,1953-06-18,Tachikawa AFB- Tokyo- JapanMilitary - U.S. Air Force,Douglas C-124A Globemaster II51-137A,129/129(0),1953,6,18,129,129,100.0,1950
1367,1953-07-12,Pacific Ocean- 325 miles east of Wake IslandTransocean Air Lines,Douglas DC-6AN90806,58/58(0),1953,7,12,58,58,100.0,1950
1368,1953-07-17,Near Milton- FloridaMilitary - U.S. Navy,Fairchild R4Q-2131663,44/46(0),1953,7,17,44,46,95.65217391304348,1950
1369,1953-07-27,Near Kanggye- North KoreaAeroflot,Ilyushin IL-12?,21/21(0),1953,7,27,21,21,100.0,1950
1370,1953-08-03,Off Fethiye Point- TurkeyAir France,Lockheed L- 749A ConstellationF-BAZS,4/42(0),1953,8,3,4,42,9.523809523809524,1950
1371,1953-08-03,Sharjah- United Arab EmiratesOrient Airways,Douglas DC-3AP-AAD,1/25(0),1953,8,3,1,25,4.0,1950
1372,1953-08-05,Off Irish coastMilitary - U.S. Air Force, Convair B-36?,14/23(0),1953,8,5,14,23,60.86956521739131,1950
1373,1953-08-18,Near San Diego- CaliforniaAerovias Contreras,Curtiss C-46AXA-GOT,2/2(0),1953,8,18,2,2,100.0,1950
1374,1953-09-01,Near Barcelonnette- FranceAir France,Lockheed 749A ConstellationF-BAZZ,42/42(0),1953,9,1,42,42,100.0,1950
1375,1953-09-01,Vail- WashingtonRegina Cargo Airlines,Douglas DC-3N19941,21/21(0),1953,9,1,21,21,100.0,1950
1376,1953-09-08,San Andres- HondurasTACA,Douglas C-47AXH-TAR,3/3(0),1953,9,8,3,3,100.0,1950
1377,1953-09-14,Chablekal- MexicoTransportes Aéreos Mexicanos,Douglas C-47AXA-GIC,1/2(0),1953,9,14,1,2,50.0,1950
1378,1953-09-16,Albany- New YorkAmerican Airlines,Convair CV-240-0N94255,28/28(0),1953,9,16,28,28,100.0,1950
1379,1953-09-25,Ankara- TurkeyDevlet Hava Yollari,Douglas DC-3TC-EGE,5/21(0),1953,9,25,5,21,23.809523809523807,1950
1380,1953-09-28,Louisville- KentuckyResort Airlines,Curtiss C-46F-1-CUN66534,25/41(0),1953,9,28,25,41,60.97560975609756,1950
1381,1953-10-14,Frankfurt- GermanySabena,Convair CV-240-12OO-AWQ,44/44(0),1953,10,14,44,44,100.0,1950
1382,1953-10-17,Lai Chau- VietnamCompagnie Sila,Douglas C-47BF-VNAE,2/7(0),1953,10,17,2,7,28.57142857142857,1950
1383,1953-10-19,New York City- New YorkEastern Air Lines,Lockheed 749A ConstellationN119A,2/27(0),1953,10,19,2,27,7.4074074074074066,1950
1384,1953-10-19,Near Monterrey- MexicoAerovias Contreras,Douglas C-46A-CU ( DC-3)XA-GOT,21/21(0),1953,10,19,21,21,100.0,1950
1385,1953-10-27,Near Magadan- RussiaAeroflot,Ilyushin IL-12L1765,22/32(?),1953,10,27,22,32,68.75,1950
1386,1953-10-29,Near Half Moon Bay- CaliforniaBritish Commonwealth Pacific Airlines,Douglas DC-6VH-BPE,19/19(0),1953,10,29,19,19,100.0,1950
1387,1953-10-31,Kharkov. Ukraine- RussiaAeroflot,Li-2L4732,15/16(0),1953,10,31,15,16,93.75,1950
1388,1953-11-03,Tarabuco- BoliviaLloyd Aereo Boliviano,Douglas DC-3CP-600,28/28(0),1953,11,3,28,28,100.0,1950
1389,1953-11-11,Off Argyll- ScotlandMilitary - Royal Air Force,Avro Shackleton MR-2WL746,10/10(0),1953,11,11,10,10,100.0,1950
1390,1953-12-04,Near Guaderrama- SpainAviaco,Bristol 170 Freighter 21EC-AEG,23/33(0),1953,12,4,23,33,69.6969696969697,1950
1391,1953-12-12,Nagpur- IndiaIndian Airlines,Douglas DC-3VT-CHF,13/14(0),1953,12,12,13,14,92.85714285714286,1950
1392,1953-12-15,Near Cairo- EgyptMisair,VC-VikingSU-AFK,6/6(?),1953,12,15,6,6,100.0,1950
1393,1953-12-15,	Tecpan Mt.- GuatemalaAviateca,Curtiss C-46DTG-AQA,2/2(0),1953,12,15,2,2,100.0,1950
